# File generated by CMD 3.5 (http://stev.oapd.inaf.it/cmd) on Mon Oct 11 13:38:36 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: Gaia DR2 + Tycho2 + 2MASS (all Vegamags, Gaia passbands from Weiler 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPbrmag  G_BPftmag  G_RPmag  B_Tmag  V_Tmag  Jmag    Hmag    Ksmag
0.0056 -0.43462 10.11394 0.5432976484 2.2780303955    0.543 -1.102  3.6167  4.693    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -6.07e-15      0.00 7.649e-01 2.301e-01 9.140e-04 2.468e-04 2.239e-03 -1.000 5.085e-03 7.524 7.814 8.583 8.622 6.953 9.920 8.542 5.898 5.257 5.102
0.0056 -0.43462 10.11394 0.5500000119 2.2836582661    0.550 -1.075  3.6202  4.686    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -6.48e-15      0.00 7.690e-01 2.260e-01 8.992e-04 2.428e-04 2.203e-03 -1.000 5.002e-03 7.457 7.734 8.489 8.528 6.882 9.809 8.447 5.840 5.195 5.046
0.0056 -0.43462 10.11394 0.5999999642 2.3211214542    0.600 -0.873  3.6529  4.653    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.02e-14      0.00 7.740e-01 2.210e-01 8.828e-04 2.384e-04 2.164e-03 -1.000 4.926e-03 6.953 7.101 7.721 7.759 6.343 8.849 7.663 5.420 4.803 4.697
0.0056 -0.43462 10.11394 0.6095100641 2.3274514675    0.609 -0.833  3.6597  4.647    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.12e-14      0.00 7.749e-01 2.201e-01 8.798e-04 2.376e-04 2.157e-03 -1.000 4.911e-03 6.854 6.974 7.565 7.603 6.237 8.647 7.504 5.341 4.740 4.640
0.0056 -0.43462 10.11394 0.6499999166 2.3520352840    0.650 -0.670  3.6879  4.624    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.62e-14      0.00 7.788e-01 2.164e-01 8.673e-04 2.343e-04 2.127e-03 -1.000 4.844e-03 6.444 6.468 6.966 7.002 5.807 7.877 6.891 5.022 4.504 4.422
0.0056 -0.43462 10.11394 0.6567957997 2.3558213711    0.657 -0.643  3.6921  4.618    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.73e-14      0.00 7.796e-01 2.156e-01 8.645e-04 2.335e-04 2.120e-03 -1.000 4.815e-03 6.377 6.389 6.875 6.910 5.738 7.763 6.798 4.969 4.464 4.384
0.0056 -0.43462 10.11394 0.6707172394 2.3633022308    0.671 -0.587  3.7007  4.606    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -1.31e-14      0.00 7.813e-01 2.139e-01 8.588e-04 2.320e-04 2.107e-03 -1.000 4.810e-03 6.238 6.228 6.690 6.724 5.598 7.533 6.611 4.860 4.381 4.305
0.0056 -0.43462 10.11394 0.6837052703 2.3699667454    0.684 -0.535  3.7085  4.594    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -1.86e-18      0.00 7.829e-01 2.123e-01 8.534e-04 2.306e-04 2.094e-03 -1.000 4.780e-03 6.108 6.081 6.522 6.555 5.469 7.325 6.441 4.759 4.302 4.230
0.0056 -0.43462 10.11394 0.6958596110 2.3759448528    0.696 -0.486  3.7158  4.582    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -1.25e-15      0.00 7.844e-01 2.109e-01 8.483e-04 2.293e-04 2.082e-03 -1.000 4.747e-03 5.985 5.944 6.367 6.399 5.349 7.135 6.286 4.665 4.228 4.159
0.0056 -0.43462 10.11394 0.6999999881 2.3779268265    0.700 -0.469  3.7183  4.577    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.62e-14      0.00 7.849e-01 2.104e-01 8.466e-04 2.288e-04 2.078e-03 -1.000 4.733e-03 5.943 5.897 6.314 6.346 5.309 7.071 6.234 4.632 4.202 4.134
