# File generated by CMD 3.5 (http://stev.oapd.inaf.it/cmd) on Sun Oct  3 12:22:12 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Weiler 2018)
# Attention: photometry includes extinction of Av=0.132, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPbrmag  G_BPftmag  G_RPmag
0.0152 0.01508 9.53908 0.5697191954 2.2993369102    0.569 -1.237  3.5776  4.692    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.35e-15      0.00 7.179e-01 2.673e-01 2.669e-03 7.201e-04 6.532e-03 -1.000 1.484e-02 7.862 8.490 9.518 9.557 7.483
0.0152 0.01508 9.53908 0.6000000238 2.3211214542    0.600 -1.139  3.5915  4.673    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.43e-15      0.00 7.186e-01 2.666e-01 2.663e-03 7.185e-04 6.518e-03 -1.000 1.481e-02 7.617 8.170 9.125 9.165 7.202
0.0152 0.01508 9.53908 0.6499999762 2.3520355225    0.650 -0.973  3.6194  4.653    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.82e-15      0.00 7.197e-01 2.655e-01 2.653e-03 7.159e-04 6.494e-03 -1.000 1.478e-02 7.202 7.623 8.451 8.492 6.728
0.0152 0.01508 9.53908 0.7000000477 2.3779268265    0.700 -0.814  3.6483  4.642    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.1e-14      0.00 7.208e-01 2.645e-01 2.644e-03 7.136e-04 6.473e-03 -1.000 1.467e-02 6.804 7.086 7.785 7.826 6.275
0.0152 0.01508 9.53908 0.7031553388 2.3794193268    0.703 -0.804  3.6502  4.641    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.13e-14      0.00 7.209e-01 2.644e-01 2.641e-03 7.133e-04 6.471e-03 -1.000 1.467e-02 6.779 7.052 7.743 7.784 6.247
0.0152 0.01508 9.53908 0.7500000000 2.3998889923    0.750 -0.661  3.6771  4.634    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.52e-14      0.00 7.220e-01 2.633e-01 2.600e-03 7.102e-04 6.452e-03 -1.000 1.468e-02 6.422 6.583 7.170 7.210 5.852
0.0152 0.01508 9.53908 0.7612121105 2.4043607712    0.761 -0.629  3.6819  4.628    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.64e-14      0.00 7.224e-01 2.630e-01 2.597e-03 7.093e-04 6.445e-03 -1.000 1.466e-02 6.343 6.486 7.057 7.097 5.768
0.0152 0.01508 9.53908 0.8000000119 2.4187245369    0.800 -0.522  3.6984  4.608    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.09e-14      0.00 7.237e-01 2.617e-01 2.586e-03 7.064e-04 6.419e-03 -1.000 1.459e-02 6.074 6.169 6.690 6.728 5.492
0.0152 0.01508 9.53908 0.8393562436 2.4317495823    0.839 -0.416  3.7141  4.586    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.68e-14      0.00 7.252e-01 2.603e-01 2.573e-03 7.030e-04 6.388e-03 -1.000 1.451e-02 5.810 5.866 6.344 6.381 5.226
0.0152 0.01508 9.53908 0.8500000238 2.4350347519    0.850 -0.388  3.7183  4.580    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.86e-14      0.00 7.256e-01 2.599e-01 2.570e-03 7.021e-04 6.380e-03 -1.000 1.449e-02 5.739 5.787 6.255 6.291 5.157
0.0152 0.01508 9.53908 0.8527843952 2.4358787537    0.852 -0.380  3.7193  4.578    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.91e-14      0.00 7.258e-01 2.597e-01 2.569e-03 7.018e-04 6.377e-03 -1.000 1.448e-02 5.721 5.767 6.232 6.267 5.139
0.0152 0.01508 9.53908 0.9000000358 2.4492788315    0.899 -0.258  3.7362  4.547    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.88e-14      0.00 7.281e-01 2.575e-01 2.550e-03 6.966e-04 6.331e-03 -1.000 1.437e-02 5.415 5.432 5.857 5.891 4.841
0.0152 0.01508 9.53908 0.9171670079 2.4537591934    0.917 -0.214  3.7418  4.534    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.32e-14      0.00 7.292e-01 2.565e-01 2.541e-03 6.942e-04 6.309e-03 -1.000 1.434e-02 5.306 5.315 5.726 5.759 4.736
0.0152 0.01508 9.53908 0.9431719780 2.4601905346    0.942 -0.149  3.7501  4.513    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -5.08e-14      0.00 7.309e-01 2.549e-01 2.527e-03 6.905e-04 6.276e-03 -1.000 1.425e-02 5.142 5.143 5.533 5.565 4.583
0.0152 0.01508 9.53908 0.9500000477 2.4618122578    0.949 -0.132  3.7522  4.508    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -5.3e-14      0.00 7.314e-01 2.544e-01 2.523e-03 6.895e-04 6.267e-03 -1.000 1.424e-02 5.099 5.098 5.484 5.515 4.544
0.0152 0.01508 9.53908 0.9669921994 2.4657340050    0.967 -0.089  3.7571  4.493    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -5.9e-14      0.00 7.328e-01 2.530e-01 2.511e-03 6.863e-04 6.238e-03 -1.000 1.418e-02 4.992 4.988 5.363 5.393 4.444
0.0152 0.01508 9.53908 0.9888481498 2.4705507755    0.989 -0.034  3.7632  4.472    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -6.77e-14      0.00 7.348e-01 2.511e-01 2.494e-03 6.819e-04 6.199e-03 -1.000 1.412e-02 4.856 4.848 5.209 5.238 4.318
0.0152 0.01508 9.53908 1.0000000000 2.4729156494    1.000 -0.007  3.7662  4.462    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -7.26e-14      0.00 7.358e-01 2.501e-01 2.486e-03 6.796e-04 6.178e-03 -1.000 1.408e-02 4.787 4.778 5.131 5.160 4.255
0.0152 0.01508 9.53908 1.0162700415 2.4762587547    1.016  0.034  3.7703  4.444    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -7.87e-14      0.00 7.379e-01 2.481e-01 2.469e-03 6.750e-04 6.137e-03 -1.000 1.398e-02 4.686 4.675 5.019 5.047 4.162
0.0152 0.01508 9.53908 1.0374518633 2.4804310799    1.037  0.086  3.7754  4.421    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -8.74e-14      0.00 7.408e-01 2.454e-01 2.445e-03 6.686e-04 6.080e-03 -1.000 1.387e-02 4.555 4.543 4.875 4.902 4.042
0.0152 0.01508 9.53908 1.0499999523 2.4828116894    1.049  0.117  3.7783  4.407    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -9.31e-14      0.00 7.426e-01 2.436e-01 2.430e-03 6.646e-04 6.044e-03 -1.000 1.378e-02 4.478 4.465 4.791 4.817 3.972
0.0152 0.01508 9.53908 1.0643322468 2.4854519367    1.063  0.152  3.7814  4.390    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -9.98e-14      0.00 7.455e-01 2.409e-01 2.407e-03 6.583e-04 5.987e-03 -1.000 1.360e-02 4.391 4.377 4.695 4.721 3.891
0.0152 0.01508 9.53908 1.0833997726 2.4888401031    1.082  0.198  3.7852  4.367    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1  -1.1e-13      0.00 7.495e-01 2.370e-01 2.374e-03 6.494e-04 5.907e-03 -1.000 1.345e-02 4.274 4.261 4.571 4.596 3.784
0.0152 0.01508 9.53908 1.1000000238 2.4916803837    1.099  0.239  3.7884  4.346    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.19e-13      0.00 7.533e-01 2.334e-01 2.342e-03 6.410e-04 5.832e-03 -1.000 1.328e-02 4.174 4.160 4.463 4.487 3.690
0.0152 0.01508 9.53908 1.1069259644 2.4928362370    1.106  0.255  3.7897  4.337    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.23e-13      0.00 7.544e-01 2.323e-01 2.335e-03 6.390e-04 5.815e-03 -1.000 1.325e-02 4.132 4.118 4.419 4.443 3.652
0.0152 0.01508 9.53908 1.1238170862 2.4955871105    1.123  0.296  3.7925  4.315    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.34e-13      0.00 7.570e-01 2.299e-01 2.319e-03 6.348e-04 5.778e-03 -1.000 1.314e-02 4.031 4.018 4.312 4.336 3.558
0.0152 0.01508 9.53908 1.1401101351 2.4981517792    1.139  0.333  3.7949  4.293    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.44e-13      0.00 7.591e-01 2.278e-01 2.306e-03 6.316e-04 5.749e-03 -1.000 1.309e-02 3.937 3.924 4.213 4.236 3.470
